model,ticker,rmse,mae,mape,dir_acc
XGBoost,AAPL,22.0153,15.9122,6.04,53.3
XGBoost,MSFT,39.2803,29.2616,6.09,47.8
XGBoost,GOOGL,97.5234,70.753,22.41,49.5
XGBoost,TSLA,21.4272,16.6151,4.32,46.7
XGBoost,AMZN,15.333,10.5461,4.43,45.4
